N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,0.1,1,0.1,1,1,1,0.01,0.264157,1.21898e-08,0.00555225,0.00770945,5.02219e-07,317795,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,0.1,1,0.1,1,1,1,0.01,0.239309,1.29812e-08,0.00472335,0.00802374,6.66475e-07,10009.7,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,0.1,1,0.1,1,1,1,0.01,0.22007,1.37397e-08,0.0041038,0.00876317,8.49796e-07,285.869,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,0.1,1,0.1,1,1,1,0.01,0.206107,1.43395e-08,0.00368267,0.00896937,1.05207e-06,7.57832,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,0.1,1,0.1,1,1,1,0.01,0.196387,1.47363e-08,0.00341452,0.00964833,1.27328e-06,0.189281,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,0.1,1,0.1,1,1,1,0.01,0.18718,1.52229e-08,0.0031504,0.00979303,1.51251e-06,0.00450359,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,0.1,1,0.1,1,1,1,0.01,0.180442,1.5559e-08,0.00297139,0.0104302,1.77025e-06,0.000102933,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,0.1,1,0.1,1,1,1,0.01,0.174406,1.59046e-08,0.00280959,0.0105369,2.04581e-06,2.27449e-06,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,0.1,1,0.1,1,1,1,0.01,0.168621,1.63031e-08,0.00265,0.0111417,2.33871e-06,4.88339e-08,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,0.1,1,0.1,1,1,1,0.01,0.163745,1.66562e-08,0.00251881,0.0112241,2.64921e-06,1.02282e-09,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,0.1,1,0.1,1,1,1,0.01,0.160481,1.68388e-08,0.00244184,0.0118021,2.97813e-06,2.09652e-11,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,0.1,1,0.1,1,1,1,0.01,0.157003,1.70988e-08,0.00235259,0.0118684,3.32373e-06,4.21667e-13,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,0.1,1,0.1,1,1,1,0.01,0.154365,1.72709e-08,0.00229002,0.0124234,3.68714e-06,8.33964e-15,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
